項目名稱,次分類,單價,供應狀態,類別,運費,報價單價
水果卡,牌組,7.5,有現貨,牌組卡紙類,1,16
吸血鬼逃脫,卡紙,6.5,有現貨,牌組卡紙類,1,14
閃現鈔票紅包袋(DIY),卡紙,11.5,有現貨,牌組卡紙類,1,24
閃現鈔票紅包袋,,15.5,有現貨,牌組卡紙類,1,32
小丑卡(小),卡紙,7.5,有現貨,牌組卡紙類,1,16
卡通書,卡紙,14.5,有現貨,牌組卡紙類,1,30
孔明神算,牌組,5.5,有現貨,牌組卡紙類,1,12
紅綠燈變換卡,卡紙,14.5,有現貨,牌組卡紙類,1,30
生物感應,卡紙,12.5,有現貨,牌組卡紙類,1,26
魔法預言書,卡紙,23.5,有現貨,牌組卡紙類,1,48
AKQ幻變,牌組,4.5,有現貨,牌組卡紙類,1,10
免丟三張牌,牌組,4.5,庫存少,牌組卡紙類,1,10
生日快樂卡,牌組,5.5,有現貨,牌組卡紙類,1,12
昆蟲研究員,牌組,7.5,有現貨,牌組卡紙類,1,16
閃電換牌術,牌組,6.5,有現貨,牌組卡紙類,1,14
國王後腦杓,牌組,6.5,有現貨,牌組卡紙類,1,14
夢幻跑車,牌組,7.5,有現貨,牌組卡紙類,1,16
四牌幻術,牌組,7.5,有現貨,牌組卡紙類,1,16
四牌幻變(10變A),牌組,5.5,有現貨,牌組卡紙類,1,12
長短貓,卡紙,3.5,有現貨,牌組卡紙類,1,8
幽靈老K(附信封),牌組,6.5,有現貨,牌組卡紙類,1,14
逃脫撲克,牌組,9.5,庫存少,牌組卡紙類,1,20
馬不知臉長,牌組,5.5,有現貨,牌組卡紙類,1,12
瞬間變形撲克,卡紙,9.5,有現貨,牌組卡紙類,1,20
四色數字預言卡,牌組,4.5,有現貨,牌組卡紙類,1,10
超級預言(星星月亮太陽),牌組,5.5,有現貨,牌組卡紙類,1,12
印象之旅,牌組,15.5,有現貨,牌組卡紙類,1,32
爆笑拉長牌,牌組,5.5,有現貨,牌組卡紙類,1,12
幻變同花順,牌組,6.5,有現貨,牌組卡紙類,1,14
96王炸(21世紀牌組),卡紙,4.5,有現貨,牌組卡紙類,1,10
ESP剪裁預言,卡紙,9.5,有現貨,牌組卡紙類,1,20
三色預言信封,牌組,9.5,有現貨,牌組卡紙類,1,20
破K還原,卡紙,5.5,庫存少,牌組卡紙類,1,12
魔毯預言(預言四重奏),卡紙,11.5,有現貨,牌組卡紙類,1,24
夢幻紅心3,卡紙,8.5,有現貨,牌組卡紙類,1,18
蜘蛛牌(附蜘蛛),牌組,9.5,有現貨,牌組卡紙類,1,20
小鈔變大,牌組,3.5,有現貨,牌組卡紙類,1,8
吊線瓶,牌組,6.5,有現貨,塑膠類,1,14
幻變金錢(點金寶盒),硬幣,7.5,有現貨,塑膠類,1,16
賭神骰(綠盒新版),骰子,10.5,有現貨,塑膠類,1,22
蟑螂棒,塑膠綜合,15.5,有現貨,塑膠類,1,32
千里眼(大紅圓筒),塑膠綜合,9.5,有現貨,塑膠類,1,20
千里眼(黃),塑膠綜合,5.5,有現貨,塑膠類,1,12
雙龍搶珠,益智,8.5,有現貨,塑膠類,1,18
預言時鐘(小),塑膠綜合,17.5,有現貨,塑膠類,1,36
聽風骰,骰子,5.5,有現貨,塑膠類,1,12
子母錢盒,硬幣,12.5,有現貨,塑膠類,1,26
心情骰,骰子,7.5,有現貨,塑膠類,1,16
骰子隧道,塑膠綜合,5.5,有現貨,塑膠類,1,12
百變魔盒(小),塑膠綜合,15.5,有現貨,塑膠類,1,32
三杯球(特大可出水果),塑膠綜合,17.5,有現貨,塑膠類,1,36
三杯球,塑膠綜合,9.5,有現貨,塑膠類,1,20
魔棒生花,塑膠綜合,18.5,有現貨,塑膠類,1,38
穿鈔筆(粗),鈔票,15.5,有現貨,塑膠類,1,32
拍扁骰,骰子,10.5,有現貨,塑膠類,1,22
金蟬脫殼,硬幣,5.5,有現貨,塑膠類,1,12
魔棒自升,塑膠綜合,6.5,有現貨,塑膠類,1,14
神奇雞蛋杯(小),塑膠綜合,5.5,有現貨,塑膠類,1,12
OREO還原,塑膠綜合,14.5,有現貨,塑膠類,1,30
閃電小彈棒(分裂棒),塑膠綜合,3.5,有現貨,塑膠類,1,8
數字預言陀螺,骰子,5.5,有現貨,塑膠類,1,12
木乃伊預言,塑膠綜合,19.5,有現貨,塑膠類,1,40
骨折器,塑膠綜合,7.5,有現貨,塑膠類,1,16
彈棒(70公分),塑膠綜合,11.5,有現貨,塑膠類,1,24
空中來錢,硬幣,3.5,有現貨,塑膠類,1,8
穿越鏡,塑膠綜合,11.5,有現貨,塑膠類,1,24
切人還原(三段),塑膠綜合,17.5,有現貨,塑膠類,1,36
紅綠燈鑽石棒,塑膠綜合,9.5,有現貨,塑膠類,1,20
啪啪筒,益智,5.5,有現貨,塑膠類,1,12
快速印刷(附ESP卡),塑膠綜合,15.5,有現貨,塑膠類,1,32
繩上走球,塑膠綜合,5.5,有現貨,塑膠類,1,12
球入透明盒(小),塑膠綜合,6.5,有現貨,塑膠類,1,14
球入透明盒(大),塑膠綜合,11.5,有現貨,塑膠類,1,24
魔法滾珠筒,塑膠綜合,5.5,有現貨,塑膠類,1,12
八仙過海杯,硬幣,7.5,有現貨,塑膠類,1,16
口香糖還原,塑膠綜合,8.5,有現貨,塑膠類,1,18
智慧棒,塑膠綜合,4.5,有現貨,塑膠類,1,10
印鈔機,鈔票,15.5,有現貨,塑膠類,1,32
斷繩還原(兩段),塑膠綜合,6.5,有現貨,塑膠類,1,14
絲巾變蛋,塑膠綜合,9.5,庫存少,塑膠類,1,20
切手指,塑膠綜合,6.5,有現貨,塑膠類,1,14
鑽石棒(2顆),塑膠綜合,4.5,有現貨,塑膠類,1,10
鑽石棒(4顆),塑膠綜合,7.5,有現貨,塑膠類,1,16
感應錢盒,塑膠綜合,21.5,有現貨,塑膠類,1,44
神奇水壺,骰子,5.5,有現貨,塑膠類,1,12
阿拉丁神燈壺,硬幣,9.5,有現貨,塑膠類,1,20
百變箭頭(八角),塑膠綜合,4.5,有現貨,塑膠類,1,10
人體三分,硬幣,6.5,有現貨,塑膠類,1,14
彈幣墊(附練習塑膠杯),硬幣,9.5,有現貨,綜合類,1,20
三色螺絲自開,硬幣,13.5,有現貨,綜合類,1,28
食幣怪獸,硬幣,4.5,有現貨,綜合類,1,10
魔幻緊箍咒,塑膠綜合,5.5,有現貨,綜合類,1,12
潘朵拉魔盒(矛盾盒),塑膠綜合,23.5,有現貨,綜合類,1,48
馬桶吸盤,塑膠綜合,7.5,有現貨,綜合類,1,16
磁力雙圈,益智,4.5,有現貨,綜合類,1,10
