指標,指標說明,歸屬Tab
衛生局醫療轉介率,"轉介醫療機構案件數(即衛生局優化計畫回覆單中勾選”轉介”的案件數) /衛生局完成回覆單案件數
* 分母應該是所有轉介案，不然轉介率照上面的公式算出來會是100%",優化計畫衛生局處置效率
衛生局轉介本院率,轉介三總北投案件數(即衛生局優化計畫回覆單中勾選”轉介三總北投”的案件數) /衛生局完成回覆單案件數,優化計畫衛生局處置效率
本院醫療轉介占率,轉介三總北投案件數(即衛生局優化計畫回覆單中勾選”轉介三總北投”的案件數) /衛生局轉介醫療機構案件數,優化計畫衛生局處置效率
衛生局暫不轉介率,不轉介案件數(即衛生局優化計畫回覆單中勾選”暫不轉介”的案件數) /衛生局完成回覆單案件數,優化計畫衛生局處置效率
暫不轉介原因分布,各種暫不轉介的表單選項/衛生局不轉介案件數,優化計畫衛生局處置效率
"衛生局訪視時間
(網絡通報後到衛生局出勤訪視時間)",衛生局填寫在優化計畫”回覆單”中的”訪視日期”，減掉「系統」網絡完成通報時間,優化計畫衛生局處置效率
"衛生局分流決策時間
(網絡通報後到衛生局決定是否派案時間)",衛生局填寫在優化計畫”回覆單”中的派案日期”，減掉「系統」網絡完成通報時間,優化計畫衛生局處置效率
"衛生局回覆通報時間
(網絡通報後到收到衛生局回覆派案時間)",「系統」衛生局完成優化計畫”回覆單”時間，減掉「系統」網絡完成通報時間,優化計畫衛生局處置效率
衛生局轉介案件開案率,開案件數/衛生局轉介三總北投總案件數,優化計畫醫院端處置效率
暫不轉介覆核同意率,本院填寫”不轉介覆核單”的”同意”案件數/衛生局不轉介案件數,優化計畫醫院端處置效率
暫不轉介覆核駁回率,本院填寫”不轉介覆核單”的”駁回”案件數/衛生局不轉介案件數,優化計畫醫院端處置效率
暫不轉介案件醫療介入率,衛生局不轉介醫療機構但本院開案件數/衛生局不轉介案件數,優化計畫醫院端處置效率
暫不轉介案件覆核時間,「系統」本院完成不轉介覆核單時間，減掉「系統」衛生局完成優化計畫回覆單時間,優化計畫醫院端處置效率
轉介案件派案時間,「系統」完成醫師／護理師指派時間，減掉「系統」衛生局完成優化計畫回覆單時間,優化計畫醫院端處置效率
轉介案件首次聯繫時間,”醫療機構回覆單”中填寫的”進行聯繫時間，減掉「系統」衛生局完成優化計畫回覆單時間,優化計畫醫院端處置效率
派案後首次聯繫時間,”醫療機構回覆單”中填寫的”進行聯繫時間”，減掉「系統」完成醫師／護理師指派時間,優化計畫醫院端處置效率
首次專業評估時間,醫療填寫在評估階段訪視紀錄單中的”訪視日期時間-開始”，減掉「系統」完成醫師／護理師指派時間,優化計畫醫院端處置效率
回覆衛生局時間,「系統」醫療完成”醫療機構回覆單”的時間，減掉「系統」完成”指派醫師/護理師”的時間,優化計畫醫院端處置效率
高風險個案處理時間(平均),緊醫高風險個案完成受理OR優化計畫完成首次訪視時間-高風險個案通報時間,總覽
中風險個案處理時間(平均),緊醫高風險個案完成受理OR優化計畫完成首次訪視時間-高風險個案通報時間,總覽
低風險個案處理時間(平均),緊醫高風險個案完成受理OR優化計畫完成首次訪視時間-高風險個案通報時間,總覽
緊醫案件結案率,已結案/所有通報數(受理方式電話或電話+緊急醫療出勤),緊急醫療處置效率
緊醫電話處置率,受理方式是電話諮詢/所有通報數(受理方式電話或電話+緊急醫療出勤),緊急醫療處置效率
緊醫出勤處置率,受理方式是電話+緊急醫療出勤/所有通報數(受理方式電話或電話+緊急醫療出勤),緊急醫療處置效率
緊醫通報後派案時間,「系統」醫療管理員完成指派(給醫師/護理師)的時間，減掉「系統」網絡通報完成時間,緊急醫療處置效率
緊醫首次專業評估時間,「系統」首次完成”受理方式”表單的時間，減掉「系統」醫療管理員完成指派(給醫師/護理師)的時間,緊急醫療處置效率
緊醫出勤準備時間,醫療實際出勤時間(就是”出勤單”中填寫的”出勤年、月、日、時間”)，減掉「系統」上首次完成”受理方式”表單的時間,緊急醫療處置效率
緊醫出勤總反應時間,醫療實際出勤時間(就是”出勤單”中填寫的”出勤年、月、日、時間”)，減掉「系統」網絡通報完成時間,緊急醫療處置效率
